[STAR]
cpr6dgp.dat               N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N043.11.18.940 W105.44.44.669 N043.12.13.045 W105.45.22.958 RVM
                          N043.12.13.045 W105.45.22.958 N043.13.06.309 W105.46.03.402 RVM
                          N043.13.06.309 W105.46.03.402 N043.13.58.684 W105.46.45.969 RVM
                          N043.13.58.684 W105.46.45.969 N043.14.50.126 W105.47.30.622 RVM
                          N043.14.50.126 W105.47.30.622 N043.15.40.592 W105.48.17.325 RVM
                          N043.15.40.592 W105.48.17.325 N043.16.30.037 W105.49.06.039 RVM
                          N043.16.30.037 W105.49.06.039 N043.17.18.418 W105.49.56.724 RVM
                          N043.17.18.418 W105.49.56.724 N043.18.05.695 W105.50.49.337 RVM
                          N043.18.05.695 W105.50.49.337 N043.18.51.827 W105.51.43.833 RVM
                          N043.18.51.827 W105.51.43.833 N043.19.36.773 W105.52.40.168 RVM
                          N043.19.36.773 W105.52.40.168 N043.20.20.495 W105.53.38.293 RVM
                          N043.20.20.495 W105.53.38.293 N043.21.02.955 W105.54.38.160 RVM
                          N043.21.02.955 W105.54.38.160 N043.21.44.116 W105.55.39.718 RVM
                          N043.21.44.116 W105.55.39.718 N043.22.23.943 W105.56.42.913 RVM
                          N043.22.23.943 W105.56.42.913 N043.23.02.402 W105.57.47.693 RVM
                          N043.23.02.402 W105.57.47.693 N043.23.39.459 W105.58.54.003 RVM
                          N043.23.39.459 W105.58.54.003 N043.24.15.081 W106.00.01.785 RVM
                          N043.24.15.081 W106.00.01.785 N043.24.49.239 W106.01.10.981 RVM
                          N043.24.49.239 W106.01.10.981 N043.25.21.902 W106.02.21.533 RVM
