[STAR]
cpr9dgp.dat               N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N042.58.22.441 W106.21.53.428 N042.58.19.878 W106.21.56.674 RVM
                          N042.58.19.878 W106.21.56.674 N042.58.18.131 W106.22.00.804 RVM
                          N042.58.18.131 W106.22.00.804 N042.58.17.355 W106.22.05.452 RVM
                          N042.58.17.355 W106.22.05.452 N042.58.17.620 W106.22.10.205 RVM
                          N042.58.17.620 W106.22.10.205 N042.58.18.902 W106.22.14.640 RVM
                          N042.58.18.902 W106.22.14.640 N042.58.21.087 W106.22.18.364 RVM
                          N042.58.21.087 W106.22.18.364 N042.58.23.981 W106.22.21.045 RVM
                          N042.58.23.981 W106.22.21.045 N042.58.27.327 W106.22.22.445 RVM
                          N042.58.27.327 W106.22.22.445 N042.58.30.827 W106.22.22.441 RVM
                          N042.58.30.827 W106.22.22.441 N042.58.34.171 W106.22.21.031 RVM
                          N042.58.34.171 W106.22.21.031 N042.58.37.061 W106.22.18.342 RVM
                          N042.58.37.061 W106.22.18.342 N042.58.39.240 W106.22.14.613 RVM
                          N042.58.39.240 W106.22.14.613 N042.58.40.516 W106.22.10.173 RVM
                          N042.58.40.516 W106.22.10.173 N042.58.40.774 W106.22.05.419 RVM
                          N042.58.40.774 W106.22.05.419 N042.58.39.991 W106.22.00.773 RVM
                          N042.58.39.991 W106.22.00.773 N042.58.38.238 W106.21.56.647 RVM
                          N042.58.38.238 W106.21.56.647 N042.58.35.670 W106.21.53.409 RVM
                          N042.58.35.670 W106.21.53.409 N042.58.32.515 W106.21.51.345 RVM
                          N042.58.32.515 W106.21.51.345 N042.58.29.053 W106.21.50.640 RVM
                          N042.58.29.053 W106.21.50.640 N042.58.29.053 W106.21.50.640 RVM
                          N042.58.22.917 W106.21.30.541 N042.58.23.353 W106.21.40.090 RVM
                          N042.58.23.353 W106.21.40.090 N042.58.22.056 W106.21.49.493 RVM
                          N042.58.22.056 W106.21.49.493 N042.58.19.105 W106.21.58.174 RVM
                          N042.58.19.105 W106.21.58.174 N042.58.14.680 W106.22.05.605 RVM
                          N042.58.14.680 W106.22.05.605 N042.58.09.052 W106.22.11.330 RVM
                          N042.58.09.052 W106.22.11.330 N042.58.02.564 W106.22.15.001 RVM
                          N042.58.02.564 W106.22.15.001 N042.58.02.564 W106.22.15.001 RVM
                          N042.58.02.564 W106.22.15.001 N042.58.09.576 W106.22.14.408 RVM
                          N042.58.09.576 W106.22.14.408 N042.58.16.480 W106.22.16.175 RVM
                          N042.58.16.480 W106.22.16.175 N042.58.22.855 W106.22.20.195 RVM
                          N042.58.22.855 W106.22.20.195 N042.58.28.312 W106.22.26.221 RVM
                          N042.58.28.312 W106.22.26.221 N042.58.32.516 W106.22.33.887 RVM
                          N042.58.32.516 W106.22.33.887 N042.58.35.211 W106.22.42.722 RVM
                          N042.58.55.566 W106.21.58.259 N042.58.49.079 W106.22.01.930 RVM
                          N042.58.49.079 W106.22.01.930 N042.58.43.451 W106.22.07.657 RVM
                          N042.58.43.451 W106.22.07.657 N042.58.39.026 W106.22.15.088 RVM
                          N042.58.39.026 W106.22.15.088 N042.58.36.074 W106.22.23.770 RVM
                          N042.58.36.074 W106.22.23.770 N042.58.34.776 W106.22.33.173 RVM
                          N042.58.34.776 W106.22.33.173 N042.58.35.211 W106.22.42.722 RVM
                          N042.58.55.566 W106.21.58.259 N042.58.48.555 W106.21.58.852 RVM
                          N042.58.48.555 W106.21.58.852 N042.58.41.650 W106.21.57.085 RVM
                          N042.58.41.650 W106.21.57.085 N042.58.35.275 W106.21.53.066 RVM
                          N042.58.35.275 W106.21.53.066 N042.58.29.818 W106.21.47.040 RVM
                          N042.58.29.818 W106.21.47.040 N042.58.25.613 W106.21.39.376 RVM
                          N042.58.25.613 W106.21.39.376 N042.58.22.917 W106.21.30.541 RVM
                          N042.59.42.741 W106.13.06.923 N042.59.39.282 W106.13.07.647 RVM
                          N042.59.39.282 W106.13.07.647 N042.59.36.133 W106.13.09.728 RVM
                          N042.59.36.133 W106.13.09.728 N042.59.33.574 W106.13.12.980 RVM
                          N042.59.33.574 W106.13.12.980 N042.59.31.832 W106.13.17.116 RVM
                          N042.59.31.832 W106.13.17.116 N042.59.31.062 W106.13.21.768 RVM
                          N042.59.31.062 W106.13.21.768 N042.59.31.334 W106.13.26.521 RVM
                          N042.59.31.334 W106.13.26.521 N042.59.32.621 W106.13.30.955 RVM
                          N042.59.32.621 W106.13.30.955 N042.59.34.811 W106.13.34.675 RVM
                          N042.59.34.811 W106.13.34.675 N042.59.37.708 W106.13.37.350 RVM
                          N042.59.37.708 W106.13.37.350 N042.59.41.056 W106.13.38.743 RVM
                          N042.59.41.056 W106.13.38.743 N042.59.44.556 W106.13.38.730 RVM
                          N042.59.44.556 W106.13.38.730 N042.59.47.898 W106.13.37.312 RVM
                          N042.59.47.898 W106.13.37.312 N042.59.50.784 W106.13.34.616 RVM
                          N042.59.50.784 W106.13.34.616 N042.59.52.959 W106.13.30.879 RVM
                          N042.59.52.959 W106.13.30.879 N042.59.54.229 W106.13.26.436 RVM
                          N042.59.54.229 W106.13.26.436 N042.59.54.481 W106.13.21.680 RVM
                          N042.59.54.481 W106.13.21.680 N042.59.53.693 W106.13.17.034 RVM
                          N042.59.53.693 W106.13.17.034 N042.59.51.934 W106.13.12.911 RVM
                          N042.59.51.934 W106.13.12.911 N042.59.49.362 W106.13.09.677 RVM
                          N042.59.49.362 W106.13.09.677 N042.59.46.204 W106.13.07.620 RVM
                          N042.59.46.204 W106.13.07.620 N042.59.42.741 W106.13.06.923 RVM
                          N042.59.42.741 W106.13.06.923 N042.59.42.741 W106.13.06.923 RVM
                          N042.59.36.580 W106.12.46.832 N042.59.37.028 W106.12.56.383 RVM
                          N042.59.37.028 W106.12.56.383 N042.59.35.743 W106.13.05.792 RVM
